Lwl,B,T,Cb,V_kn,L_B,B_T,Fn,R_F_kN,R_R_kN,R_T_kN,P_E_kW
156.021868,29.268255,8.354882,0.608885,19.542169,5.330754,3.503132,0.256971,534.765201,453.236894,970.963971,9761.442352
183.448954,23.733061,9.666554,0.818424,10.599098,7.729680,2.455173,0.128533,243.000869,27.724260,270.906685,1477.157326
143.958794,21.805217,9.318920,0.653834,21.606048,6.602035,2.339887,0.295774,573.104830,705.790594,1300.858772,14459.177565
180.386587,19.920000,6.578420,0.651050,12.534177,9.055551,3.028083,0.153284,201.249937,25.373288,224.945768,1450.480010
152.058209,17.206618,7.965163,0.719995,10.129763,8.837193,2.160234,0.134927,129.093246,13.976228,146.398693,762.912275
146.795882,25.043594,6.953814,0.772369,20.699656,5.861614,3.601418,0.280614,599.027009,775.699282,1330.664418,14169.997344
172.112229,32.899835,12.245822,0.560669,13.642109,5.231401,2.686617,0.170797,354.184592,67.169569,429.703877,3015.705267
146.319263,19.124720,4.913204,0.668317,13.375536,7.650792,3.892515,0.181620,168.098579,28.615059,197.306979,1357.662232
154.094397,27.224942,9.065868,0.649649,11.699833,5.660045,3.003015,0.154807,212.402992,33.658185,242.886564,1461.912052
199.757967,23.061368,8.615548,0.718891,16.407614,8.662017,2.676715,0.190676,488.746648,87.786457,570.470986,4815.230746
186.979200,26.534037,11.837685,0.806041,19.841433,7.046768,2.241489,0.238331,921.315429,501.061148,1475.527217,15061.157986
94.794125,17.755037,8.115043,0.581235,12.614268,5.338999,2.187916,0.212802,112.277580,32.890757,138.095581,896.148386
181.208145,31.023231,10.921764,0.571723,15.376344,5.841047,2.840496,0.187615,430.726948,92.421259,510.845287,4040.923105
205.069658,28.290829,11.830594,0.701187,18.250406,7.248627,2.391328,0.209327,774.608936,213.226993,998.703044,9376.635025
191.077213,33.067686,11.056856,0.786715,17.175388,5.778367,2.990695,0.204082,769.039896,220.650227,978.936786,8649.665621
208.274584,28.236208,12.052202,0.573825,10.116179,7.376153,2.342826,0.115134,223.063196,29.553079,253.037774,1316.861090
97.176167,18.522545,5.057220,0.600816,10.194191,5.246372,3.662594,0.169854,64.168512,11.121921,74.678301,391.638445
190.542469,26.241776,9.658274,0.607245,17.767344,7.261036,2.717025,0.211412,533.358240,150.822634,684.946965,6260.623325
128.743110,16.327241,4.204952,0.699145,10.856564,7.885172,3.882860,0.157157,90.758690,11.975460,103.531987,578.235924
84.433176,10.207433,4.807639,0.739821,17.828219,8.271735,2.123170,0.318680,136.625100,158.256190,295.277994,2708.177661
158.654741,28.286361,11.067068,0.766020,12.629029,5.608878,2.555904,0.164682,326.935095,51.877854,371.719881,2415.037378
128.159642,14.130617,6.335142,0.799692,13.669347,9.069642,2.230513,0.198324,173.673351,31.307141,205.014135,1441.682657
142.529634,22.529931,6.645916,0.740856,20.028240,6.326235,3.390041,0.275546,483.043360,540.175708,1008.774992,10393.820294
221.821150,29.657945,11.189534,0.608077,11.824657,7.479316,2.650508,0.130404,324.859989,44.237662,372.445017,2265.629191
132.057352,20.638687,6.828037,0.757066,21.699699,6.398535,3.022638,0.310153,514.666197,769.377207,1295.359142,14460.456559
220.767256,28.074600,10.650452,0.755008,21.962565,7.863594,2.636001,0.242784,1187.188176,685.293377,1876.537759,21202.079799
144.964146,21.227928,5.873164,0.728023,13.908496,6.828935,3.614394,0.189738,223.166056,44.052939,262.036001,1874.904861
223.615258,26.371064,10.456322,0.559829,21.750299,8.479569,2.522021,0.238901,880.237730,410.436595,1315.616378,14720.840681
169.981227,23.613506,10.155569,0.738924,14.202344,7.198475,2.325178,0.178922,363.884270,58.555727,420.430210,3071.793815
127.648429,24.332898,9.063746,0.573930,10.573362,5.245920,2.684640,0.153712,127.372330,20.552308,150.703732,819.738291
227.761569,25.157945,11.749632,0.625940,23.378404,9.053266,2.141169,0.254436,1158.855563,717.259023,1790.518119,21534.345629
228.343339,32.269097,8.309478,0.654112,10.604400,7.076223,3.883408,0.115264,266.048230,37.714104,301.450293,1644.522878
170.237756,18.459217,8.942628,0.711365,11.149550,9.222371,2.064183,0.140357,185.283842,20.319980,211.160422,1211.177946
166.833478,31.083857,9.746114,0.795545,22.739202,5.367207,3.189359,0.289159,1073.493785,1645.097772,2815.083377,32930.975491
225.027607,29.546688,10.774946,0.664310,12.076180,7.616001,2.742166,0.132226,360.739030,47.819873,410.145785,2548.038167
203.224109,23.777967,10.926950,0.558156,14.879439,8.546740,2.176085,0.171436,386.967437,57.185977,444.482479,3402.352487
130.081952,22.368918,6.635147,0.704882,12.491618,5.815299,3.371277,0.179893,174.500790,31.973737,198.005948,1272.433353
137.502390,27.321378,7.735488,0.578812,18.094825,5.032777,3.531953,0.253456,369.735259,292.333239,662.689246,6168.824518
205.239597,25.408157,10.219320,0.818927,13.480398,8.077705,2.486287,0.154552,448.189772,55.909675,514.077816,3565.083294
216.590918,25.674181,6.984895,0.631459,20.955126,8.436137,3.675672,0.233870,716.919532,322.178018,1031.604813,11120.946402
179.913402,22.499181,9.147976,0.795387,21.497432,7.996442,2.459471,0.263244,828.762595,697.845937,1524.294971,16857.521060
229.535736,30.113378,10.243768,0.686053,16.760405,7.622384,2.939678,0.181703,690.302950,122.381269,821.255870,7081.105922
84.465462,14.841583,5.989573,0.725758,11.831550,5.691136,2.477903,0.211449,84.445554,23.624250,108.698781,661.613579
93.441138,17.856791,6.427841,0.816712,23.011070,5.232807,2.778039,0.390995,412.151539,340.797511,745.181334,8821.387383
129.856804,19.760133,9.559279,0.806536,16.025237,6.571656,2.067116,0.230981,347.496400,153.770243,512.588176,4225.821427
123.243276,15.403511,7.548797,0.581094,20.031480,8.000986,2.040525,0.296371,301.531087,308.753193,618.234740,6370.955144
226.217314,25.151803,6.721470,0.735769,22.414988,8.994079,3.742009,0.244782,952.158071,556.844697,1544.282517,17807.517336
148.441876,25.708957,8.695231,0.789007,14.663491,5.773936,2.956673,0.197680,358.841286,86.508526,448.786386,3385.440370
168.465907,27.364959,8.245962,0.585210,17.947823,6.156264,3.318589,0.227122,450.459554,192.367308,669.362581,6180.325093
196.475718,23.065339,8.614681,0.600969,13.826352,8.518224,2.677445,0.162016,299.813347,41.681849,350.210988,2491.010085
209.552015,28.622598,7.701078,0.577546,11.423993,7.321209,3.716700,0.129621,229.371098,33.179282,264.878530,1556.692370
226.358493,31.952796,10.465748,0.692979,23.407737,7.084153,3.053083,0.255543,1347.619431,1052.045050,2346.046183,28251.017076
95.001667,20.863817,5.045074,0.769908,15.423282,4.553417,4.135483,0.259905,187.395965,188.626048,370.593208,2940.440337
175.523923,29.836541,9.834551,0.666882,18.803934,5.882851,3.033849,0.233122,647.037336,329.827342,960.026737,9286.886951
124.884177,26.974822,10.242522,0.675415,22.981844,4.629657,2.633611,0.337781,684.787644,1095.790498,1766.776473,20888.371406
191.202456,26.056928,8.170014,0.837168,20.181665,7.337874,3.189337,0.239725,853.177403,498.963388,1391.323362,14445.186935
208.094474,33.696920,11.653450,0.735105,21.339051,6.175475,2.891583,0.242968,1202.604119,785.344952,2000.253329,21958.274730
152.556732,24.839746,6.147323,0.571156,12.953913,6.141638,4.040742,0.172262,183.149391,33.294953,210.352035,1401.799228
198.545996,24.671667,9.754667,0.760339,14.521687,8.047531,2.529217,0.169274,447.899495,63.432766,526.771071,3935.293166
171.893016,28.717463,9.109084,0.590261,19.600661,5.985662,3.152618,0.245553,585.508588,372.278028,937.164439,9449.843808
201.928945,31.069536,11.291906,0.777578,17.992081,6.499258,2.751487,0.207963,845.461422,246.576846,1006.115626,9312.523870
145.840671,18.826330,8.326102,0.587179,10.039784,7.746633,2.261122,0.136549,111.264761,13.816911,124.943070,645.319283
133.355754,27.996994,8.813060,0.621006,17.375771,4.763217,3.176762,0.247139,380.154364,272.820872,635.840728,5683.692130
102.399632,21.377067,6.548883,0.707952,10.476322,4.790163,3.264231,0.170045,99.408092,17.363769,113.642288,612.472940
169.942498,31.438207,7.746909,0.811087,11.609518,5.405604,4.058162,0.146274,292.952823,45.282881,342.932531,2048.146365
142.635534,26.318147,11.415879,0.627774,22.732173,5.419665,2.305398,0.312630,738.442344,1086.748176,1783.545306,20857.545682
175.935452,23.129420,8.667589,0.840119,13.098351,7.606566,2.668495,0.162197,336.740998,44.238499,377.315138,2542.488326
151.375700,18.524481,5.063358,0.827876,19.428018,8.171657,3.658537,0.259361,431.607165,349.397996,781.370351,7809.505246
139.184246,21.623316,7.499820,0.737109,10.766739,6.436767,2.883178,0.149897,150.731496,20.454955,167.283568,926.564364
159.156076,30.445906,12.490265,0.570513,12.496613,5.227503,2.437571,0.162699,276.704389,48.305327,327.935630,2108.235034
188.140548,24.363217,6.990492,0.632232,13.816802,7.722319,3.485193,0.165451,281.653950,42.838195,319.441822,2270.583231
131.180264,25.426314,12.077933,0.681650,20.057406,5.159233,2.105187,0.287637,587.523516,759.365948,1371.894036,14155.767974
115.271223,23.916727,9.629196,0.710979,11.342011,4.819691,2.483772,0.173513,161.972167,28.764996,187.385193,1093.360646
192.016399,22.639137,10.652802,0.800599,16.373507,8.481613,2.125181,0.194078,570.500062,105.714517,659.649238,5556.392018
104.281233,19.312389,9.221445,0.755330,11.710338,5.399707,2.094291,0.188352,145.897590,28.000184,166.624132,1003.795979
113.450935,14.346713,4.491143,0.777995,12.361286,7.907800,3.194446,0.190618,109.379367,18.886344,127.590282,811.370780
157.252777,26.991017,7.221364,0.823672,18.992050,5.826115,3.737662,0.248758,618.005727,489.054570,1112.018687,10864.807701
148.342778,27.362621,9.153496,0.655222,16.508514,5.421366,2.989308,0.222627,397.840701,162.244755,552.885363,4695.492842
146.209568,23.871150,8.970520,0.585068,17.382224,6.124949,2.661066,0.236114,363.168262,178.059436,542.182284,4848.292008
86.600396,10.529627,5.259399,0.668654,20.202535,8.224451,2.002059,0.356574,172.465499,159.064968,323.054324,3357.527090
98.575684,18.859589,5.471518,0.580892,12.425261,5.226820,3.446866,0.205553,95.581244,26.272822,120.367316,769.400032
193.008110,32.728442,9.211748,0.636983,21.125376,5.897259,3.552902,0.249758,861.585816,637.357634,1507.294082,16381.004876
144.323640,19.392769,5.647255,0.821898,18.205505,7.442137,3.434017,0.248907,389.554593,263.235889,668.050133,6256.765551
227.957812,29.907122,12.851519,0.636577,12.548725,7.622192,2.327127,0.136514,415.598182,55.460435,463.532208,2992.385977
181.060446,21.072379,6.854831,0.753167,15.460375,8.592311,3.074092,0.188717,360.945981,62.951868,411.884190,3275.919713
145.101791,23.231242,6.954704,0.776399,14.151235,6.245977,3.340364,0.192957,278.354679,59.833165,336.471951,2449.521883
205.875167,31.830647,10.076467,0.835330,22.858655,6.467828,3.158910,0.261669,1409.906551,1403.252609,2706.141320,31822.863589
209.216742,22.856011,7.215575,0.564091,13.048055,9.153686,3.167594,0.148167,246.683520,32.578890,273.339330,1834.788480
203.442848,26.458930,7.489101,0.843814,10.071954,7.689005,3.532991,0.115983,241.066536,28.397784,266.863181,1382.739924
142.734001,27.655378,8.019482,0.695487,13.140072,5.161166,3.448524,0.180650,252.150095,50.833421,296.384636,2003.510095
112.991133,24.739362,8.684550,0.633164,11.455020,4.567261,2.848664,0.177002,142.345809,27.854914,169.120331,996.620450
226.638948,31.842516,10.790170,0.746219,11.417943,7.117495,2.951067,0.124573,379.848131,49.783284,437.730972,2571.184626
164.912712,28.376619,6.909577,0.691750,19.723877,5.811570,4.106853,0.252272,584.803847,470.543601,1059.333368,10748.876029
226.117143,27.543751,8.665821,0.636743,18.319104,8.209381,3.178435,0.200097,665.095420,150.539511,801.211167,7550.736798
110.456450,19.228927,5.367267,0.765023,16.876070,5.744286,3.582629,0.263742,242.475139,231.508495,464.964255,4036.723326
149.081058,21.063854,7.488262,0.839572,15.688963,7.077577,2.812916,0.211051,364.174299,104.315328,472.498316,3813.577833
151.936590,30.904973,10.032462,0.727163,10.640170,4.916250,3.080497,0.141782,219.186370,34.385944,263.637477,1443.091390
208.946024,26.063970,11.309873,0.745073,16.748245,8.016661,2.304533,0.190307,663.176262,122.122624,775.746606,6683.859049
206.820756,30.824243,7.461483,0.746483,16.158480,6.709678,4.131115,0.184547,573.798818,115.441215,682.781992,5675.716253
113.203539,16.051097,5.735709,0.780833,11.155562,7.052698,2.798451,0.172213,106.959017,15.117459,118.399248,679.482844
176.118885,22.614095,9.173713,0.807705,11.606652,7.788014,2.465097,0.143651,260.855378,30.874736,281.128526,1678.610654
153.500921,32.882018,8.534784,0.575275,18.486455,4.668233,3.852706,0.245077,489.918627,353.648419,850.835747,8091.657078
118.941606,16.647870,4.052472,0.628014,14.454257,7.144554,4.108077,0.217687,130.637738,41.340935,174.886821,1300.441953
160.833132,30.339238,10.410916,0.581576,15.415448,5.301159,2.914176,0.199651,382.026411,100.892290,494.264295,3919.706027
137.748251,25.576679,7.934998,0.736281,14.374089,5.385697,3.223275,0.201160,290.302719,77.191997,368.641977,2725.983548
132.654612,24.016628,7.119540,0.698917,10.335327,5.523449,3.373340,0.147390,132.647610,19.942074,152.092428,808.667349
211.359401,27.709243,7.440018,0.607925,18.773686,7.627758,3.724352,0.212101,593.194259,176.357954,760.870953,7348.499312
219.802939,29.490524,12.765868,0.702059,23.007154,7.453341,2.310107,0.254888,1350.788806,980.725930,2381.086538,28182.284497
86.008642,15.715368,6.671612,0.809923,11.588748,5.472900,2.355558,0.205243,99.464175,25.245148,126.920950,756.672487
159.542508,32.514119,10.378533,0.638603,16.620214,4.906869,3.132824,0.216124,489.526468,186.105163,666.158970,5695.771932
125.029400,18.754934,6.662134,0.704778,11.816473,6.666480,2.815154,0.173574,137.197095,21.160328,160.058514,972.981847
160.027084,24.783957,11.707383,0.660264,19.878784,6.456882,2.116951,0.258105,649.548172,493.649635,1129.790155,11553.823212
101.989285,19.603401,8.373008,0.597840,11.843272,5.202632,2.341262,0.192619,115.533909,24.668081,145.864989,888.711637
140.793528,27.731099,7.703600,0.800376,18.326118,5.077099,3.599759,0.253678,530.006948,479.617391,987.546114,9310.348975
158.565169,27.025546,12.369899,0.595362,21.696453,5.867233,2.184783,0.283001,753.387634,847.924717,1583.169206,17670.717484
104.364890,18.523746,5.187585,0.772226,16.683549,5.634114,3.570784,0.268235,220.055449,227.595432,449.788514,3860.423043
133.263020,21.819866,5.622668,0.616940,19.498978,6.107417,3.880696,0.277435,334.483907,362.527528,696.613630,6987.823307
180.251887,23.910240,9.403751,0.765179,12.834322,7.538690,2.542628,0.157013,317.714268,41.862316,353.140011,2331.621030
159.412341,28.239026,8.810026,0.712434,15.901050,5.645108,3.205328,0.206856,426.902443,126.758718,562.957270,4605.102820
154.984912,21.375465,9.391115,0.716218,11.470549,7.250598,2.276137,0.151336,199.964868,25.694805,225.762302,1332.213162
121.534915,17.887741,8.342425,0.618766,13.795069,6.794313,2.144190,0.205531,175.229661,41.181431,215.418019,1528.776545
145.730992,25.103812,6.979535,0.564451,12.693279,5.805134,3.596774,0.172704,178.239094,32.679350,210.526479,1374.733965
214.334210,26.301747,12.908376,0.723446,17.076560,8.149048,2.037572,0.191584,735.601223,136.207929,854.063179,7502.888656
157.933122,20.459340,7.795620,0.599316,14.980837,7.719365,2.624466,0.195796,257.629548,51.385590,301.497833,2323.583940
144.789666,26.450848,9.167141,0.575243,18.936408,5.473914,2.885398,0.258483,445.031024,361.965670,816.897735,7957.990225
142.247856,17.448797,5.962358,0.764845,16.606166,8.152301,2.926493,0.228692,286.931048,111.288459,397.113541,3392.518200
151.424804,30.237863,11.222353,0.804637,22.606016,5.007788,2.694432,0.301737,1028.769437,1759.621947,2768.056539,32191.194491
172.348176,33.907407,12.556380,0.748976,11.193005,5.082906,2.700413,0.140038,321.239736,49.054222,367.918248,2118.537384
229.930498,31.597247,9.438928,0.653273,20.925773,7.276916,3.347546,0.226666,996.376816,416.608740,1393.796815,15004.415604
123.006359,17.024401,6.814785,0.659126,16.891992,7.225297,2.498157,0.250162,238.953443,142.219596,372.275535,3235.068494
209.444875,29.353146,8.522481,0.777972,12.222264,7.135347,3.444202,0.138714,364.315643,48.763430,409.331921,2573.744256
227.989636,24.004616,6.823397,0.589986,17.024045,9.497741,3.517986,0.185186,454.961225,78.111435,544.435651,4768.122600
171.779161,26.686931,10.482285,0.642044,12.568258,6.436827,2.545908,0.157505,279.791430,42.081223,324.298956,2096.808385
126.605668,25.817982,10.948257,0.591184,19.850651,4.903779,2.358182,0.289769,478.333443,615.294081,1080.347927,11032.564956
220.343182,29.433543,11.332272,0.624685,13.396605,7.486125,2.597320,0.148234,418.138336,58.962169,476.043361,3280.797183
155.387228,30.846368,12.530310,0.664982,20.427201,5.037456,2.461740,0.269156,774.191174,822.197620,1609.076483,16909.223186
162.031834,32.418740,10.112085,0.605713,14.375535,4.998092,3.205940,0.185493,356.523773,79.986427,429.268502,3174.615660
213.961711,30.241606,9.499550,0.574593,18.132724,7.075078,3.183478,0.203610,627.509977,162.061827,779.886019,7274.988207
153.587042,19.364244,5.932481,0.561415,22.196252,7.931476,3.264106,0.294175,425.326332,469.393422,902.911981,10310.107040
165.113413,31.732497,8.746624,0.684221,22.450511,5.203291,3.627971,0.286971,866.872092,1236.470461,2100.225687,24256.620661
148.638587,19.249711,9.585634,0.840584,15.858833,7.721601,2.008183,0.213653,394.145564,110.206838,499.762370,4077.301984
110.519013,21.625364,6.995430,0.772791,19.523520,5.110620,3.091356,0.305030,384.115849,621.334458,1020.126236,10245.900854
168.748385,27.000675,7.827643,0.771411,19.814966,6.249784,3.449400,0.250540,681.661739,522.725316,1253.379621,12776.563593
228.274487,25.384781,8.492378,0.713752,18.920247,8.992573,2.989125,0.205685,747.533583,178.660169,929.468895,9046.899776
114.462375,23.865398,9.800192,0.691520,13.745210,4.796165,2.435197,0.211020,226.778729,72.400112,301.737093,2133.625526
90.583927,18.189198,8.121186,0.823841,21.842275,4.980095,2.239722,0.376943,411.315945,431.077599,859.290426,9655.526252
226.087613,32.654014,10.305777,0.710161,13.727188,6.923731,3.168515,0.149950,508.295912,74.519864,577.981574,4081.630504
212.153652,22.624240,6.815568,0.773418,19.887015,9.377272,3.319495,0.224258,711.727978,253.976259,954.217587,9762.366650
